fid;TIPO;ID_DATO;FECHA;NOMBRE;POINT_X;POINT_Y;MUNICIPIO;ELEV_TERR;DEUT_2H;OXIG_18;Month;CooX;CooY;Lon;Lat;PROF_MAX;P/GW;O18;2H
33;Pozo;6836;1/01/1999;;987495;1011210;MOSQUERA;2566;-72.6;-10.72;1;589810.7333;519285.6609;-74.19021826;4.697564444;554;0.625984;-6.710551262;-44.50134659
34;Pozo;8132;10/28/2010;IMAL - FONTIBON- (FUCHA);991087;1010782;BOGOTµ D.C.;2546.019433;-75;-10.68;10;593402.2254;518862.5219;-74.15784235;4.693698489;483;0.628329;-6.710551262;-44.50134659
35;Pozo;6687;1/01/1998;Siberia 2;991670;1017940;COTA;2574;-72.4;-10.26;1;593975.5612;526019.1967;-74.15259464;4.758429372;118;0.629356;-6.457191467;-39.75224304
36;Pozo;6689;1/01/1998;Flores Punza 3;987430;1017710;FUNZA;2572;-72.7;-10.26;1;589737.1309;525783.6047;-74.19081366;4.756344241;471;0.629356;-6.457191467;-39.75224304
37;Pozo;8070;10/31/2017;;991670;1017940;COTA;2574;-72.4;-10.26;10;593975.5612;526019.1967;-74.15259464;4.758429372;118;0.629356;-6.457191467;-39.75224304
38;Pozo;8091;10/31/2017;;987430;1017710;FUNZA;2572;-72.7;-10.26;10;589737.1309;525783.6047;-74.19081366;4.756344241;471;0.629356;-6.457191467;-39.75224304
39;Pozo;8172;11/16/2010;UNIVERSIDAD SAN BUENAVENTURA - USAQUEN- (TORCA);1005339;1017143;BOGOTµ D.C.;2558.795585;-67.2;-9.92;11;607641.8639;525240.6552;-74.0293826;4.75122446;170;0.631321;-6.262704849;-37.88114548
40;Pozo;6678;1/01/1998;Finca Alasita UanaUhj;981030;1017030;MADRID;2577;-74.3;-10.6;1;583340.03;525095.2799;-74.24850149;4.750183074;424;0.631758;-6.696632385;-42.54536819
41;Pozo;8090;10/31/2017;;981030;1017025;MADRID;2577;-74.3;-10.6;10;583340.0367;525090.2815;-74.24850147;4.750137859;424;0.631758;-6.696632385;-42.54536819
42;Pozo;6835;1/01/1999;;989170;1019540;FUNZA;2578;-74.3;-10.6;1;591474.1604;527615.3804;-74.17513169;4.772895433;121.5;0.636554;-6.747475624;-42.10700226
43;Pozo;8164;11/08/2010;LOS TRES - USAQUEN- (TORCA);1005435;1018617;BOGOTµ D.C.;2561.495726;-67.1;-9.88;11;607735.871;526714.4036;-74.02851632;4.764553879;;0.642212;-6.345050335;-38.56540298
44;Pozo;6700;1/01/1998;Hilacol 1A;994300;1006000;BOGOTµ D.C.;2545.106753;-70.6;-10.08;1;596620.5642;514086.1203;-74.12887988;4.650457172;157;0.645498;-6.506624222;-42.5958252
45;Pozo;8077;10/31/2017;;994300;1006000;BOGOTµ D.C.;2545.106753;-70.6;-10.08;10;596620.5642;514086.1203;-74.12887988;4.650457172;157;0.645498;-6.506624222;-42.5958252
46;Aljibe;8163;11/08/2010;ESCUELA UNION COLOMBIA - USAQUEN- (TORCA);1005511;1018780;BOGOTµ D.C.;2565.758576;-69.5;-9.94;11;607811.6334;526877.4632;-74.02783114;4.76602785;;0.652922;-6.490041733;-40.87647629
47;Rio;8195;12/11/2010;Quebrada Aguas Clalientes;1005376;1020521;BOGOTµ D.C.;2553.792743;-74.4;-10.32;12;607674.3357;528617.8339;-74.02904694;4.781771908;0.1;0.653825;-6.747475624;-42.10700226
48;Pozo;8156;11/05/2010;PARQUE SIMON BOLIVAR - TEUSAQUILLO- (SALITRE);998139;1007224;BOGOTµ D.C.;2549.481208;-66.2;-9.64;11;600456.8867;515314.7928;-74.09428068;4.661527595;216.11;0.656372;-6.327425003;-41.04988098
49;Pozo;6693;1/01/1998;Los Puentes;979793;1009450;MOSQUERA;2588;-78.2;-10.77;1;582113.458;517516.0754;-74.25963378;4.681634014;200;0.658317;-7.090070248;-49.71907806
50;Pozo;6821;1/01/1999;;979793;1009450;MOSQUERA;2588;-78.2;-10.77;1;582113.458;517516.0754;-74.25963378;4.681634014;200;0.658317;-7.090070248;-49.71907806
51;Pozo;8173;11/16/2010;UNICENTRO - USAQUEN- (SALITRE);1004157;1011530;BOGOTµ D.C.;2552.400684;-61.2;-9.1;11;606467.6148;519627.543;-74.04003978;4.700466333;86;0.658988;-5.996795177;-34.85771179
52;Manantial;6750;1/01/1999;;991525;1031520;TENJO;2893.995878;-76.8;-10.995;1;593812.2366;539595.0262;-74.15391538;4.881233787;0.1;0.663106;-7.290855408;-45.74531555
53;Manantial;8047;10/31/2017;;991525;1031520;TENJO;2893.995878;-76.8;-10.995;10;593812.2366;539595.0262;-74.15391538;4.881233787;0.1;0.663106;-7.290855408;-45.74531555
54;Pozo;6701;1/01/1998;Hiiacol 2;995200;1006000;BOGOTµ D.C.;2545.831724;-68.1;-9.8;1;597520.3081;514087.2949;-74.12076852;4.650457717;161;0.663941;-6.506624222;-42.5958252
55;Manantial;6729;1/01/1999;;995500;1045200;SUBACHOQUE;2975;-71.95;-10.56;1;597767.1177;553276.601;-74.11808579;5.004945398;0.1;0.667181;-7.04543066;-44.17179871
56;Manantial;8037;10/31/2017;;995500;1045200;SUBACHOQUE;2975;-71.95;-10.56;10;597767.1177;553276.601;-74.11808579;5.004945398;0.1;0.667181;-7.04543066;-44.17179871
57;Humedal;8192;12/11/2010;Humedal Santa Maria del Lago;998118;1010870;BOGOTµ D.C.;2548.72029;-77.6;-10.04;12;600431.1059;518959.7589;-74.09447074;4.694498698;0.1;0.667482;-6.701524258;-39.25138474
58;Pozo;8146;11/04/2010;LAFAYETTE No 1 - KENNEDY- (FUCHA);993901;1005872;BOGOTµ D.C.;2545.122823;-72.6;-10.57;11;596221.8454;513957.6363;-74.13247582;4.649299384;513;0.670157;-7.083558559;-46.35876846
59;Pozo;6668;1/01/1998;Tulip n;987010;1020270;TENJO;2581;-76.3;-10.9;1;589313.8333;528342.2653;-74.19460345;4.779493812;80;0.673545;-7.341639519;-49.53143311
60;Pozo;8055;10/31/2017;;987010;1020270;TENJO;2581;-76.3;-10.9;10;589313.8333;528342.2653;-74.19460345;4.779493812;80;0.673545;-7.341639519;-49.53143311
61;Pozo;8139;11/03/2010;HIJAS DE SANTA MARIA PROVIDENCIA - USAQUEN- (TORCA);1005754;1016638;BOGOTµ D.C.;2566.807405;-63.8;-9.17;11;608057.4301;524736.3383;-74.02564216;4.746657439;101;0.67576;-6.196715832;-37.50699234
62;Pozo;7237;1/01/2001;;981300;1013550;MOSQUERA;2566;-69.81;-8.82;1;583614.5672;521616.7488;-74.24606012;4.718713905;500;0.681281;-6.00889492;-34.85771179
63;Rio;8198;12/11/2010;QUEBRADA LA VIEJA;1003188;1005993;BOGOTµ D.C.;2658.61425;-77.7;-11.42;12;605506.1341;514090.7222;-74.04877567;4.650395157;0.1;0.681847;-7.786695957;-57.78390884
64;Pozo;8065;10/31/2017;;1002800;1020470;BOGOTµ D.C.;2554.539597;-63.3;-9.55;10;605099.0765;528563.3906;-74.05226784;4.781311961;96;0.683805;-6.530333519;-39.23252487
65;Pozo;6624;1/01/1998;Hacienda La Ramada;1020780;1054660;NEMOCàN;2593;-89;-12.66;1;623027.3739;562770.0337;-73.8901041;5.09046609;97;0.685441;-8.677685738;-56.63957214
